Date,Close,등락률,PER,PBR,회전율,환율,코스피,나스닥
2022-01-05,125500,-2.33,18.05,1.76,0.0102,1196.5,2953.97,-3.34
2022-01-06,125000,-0.4,17.98,1.75,0.0051,1199.25,2920.53,-0.13
2022-01-07,127000,1.6,18.27,1.78,0.0045,1205.780029296875,2954.89,-0.96
2022-01-10,124500,-1.97,17.91,1.75,0.0047,1196.8800048828125,2926.72,0.05
2022-01-11,128000,2.81,18.41,1.8,0.0054,1198.0899658203125,2927.38,1.41
2022-01-12,128500,0.39,18.48,1.8,0.0049,1189.4300537109375,2972.48,0.23
2022-01-13,129500,0.78,18.63,1.82,0.0057,1185.8800048828125,2962.09,-2.51
2022-01-14,128500,-0.77,18.48,1.8,0.0052,1186.6099853515625,2921.92,0.59
2022-01-18,126500,-0.39,18.20,1.77,0.005,1190.06005859375,2864.24,-2.6
2022-01-19,127000,0.4,18.27,1.78,0.0056,1192.97998046875,2842.28,-1.15
2022-01-20,125000,-1.57,17.98,1.75,0.0075,1188.1600341796875,2862.68,-1.3
2022-01-21,119000,-4.8,17.12,1.67,0.0089,1192.4300537109375,2834.29,-2.72
2022-01-24,119000,0.0,17.12,1.67,0.0067,1191.5,2792.0,0.63
2022-01-25,118000,-0.84,16.97,1.66,0.0078,1195.6600341796875,2720.39,-2.28
2022-01-26,117500,-0.42,16.90,1.65,0.0047,1196.0999755859375,2709.24,0.02
2022-01-27,113500,-3.4,16.33,1.59,0.0092,1200.6300048828125,2614.49,-1.4
2022-01-28,120500,6.17,17.33,1.69,0.0066,1203.4599609375,2663.34,3.13
2022-02-03,124000,2.9,17.84,1.74,0.0071,1199.9599609375,2707.82,-3.74
2022-02-04,124500,0.4,17.91,1.75,0.0042,1200.3299560546875,2750.26,1.58
2022-02-07,123000,-1.2,17.69,1.73,0.0066,1197.0899658203125,2745.06,-0.58
2022-02-08,125000,1.63,17.98,1.75,0.0056,1196.8499755859375,2746.47,1.28
2022-02-09,126000,0.8,18.12,1.77,0.006,1196.3599853515625,2768.85,2.08
2022-02-10,129500,2.78,18.63,1.82,0.01,1194.030029296875,2771.93,-2.1
2022-02-11,132000,1.93,18.99,1.85,0.0083,1199.3499755859375,2747.71,-2.78
2022-02-14,132500,0.38,19.06,1.86,0.0068,1199.239990234375,2704.48,-0.0
2022-02-15,127000,-4.15,18.27,1.78,0.007,1197.3599853515625,2676.54,2.53
2022-02-16,130500,2.76,18.77,1.83,0.0048,1196.8299560546875,2729.68,-0.11
2022-02-17,133000,1.92,19.13,1.87,0.0075,1196.75,2744.09,-2.88
2022-02-18,131500,-1.13,18.92,1.84,0.0043,1198.6600341796875,2744.52,-1.23
2022-02-22,128500,-1.15,18.48,1.8,0.0044,1194.6800537109375,2706.79,-1.23
2022-02-23,128500,0.0,18.48,1.8,0.0038,1192.6800537109375,2719.53,-2.57
2022-02-24,122500,-4.67,17.62,1.72,0.0079,1192.4000244140625,2648.8,3.34
2022-02-25,123000,0.41,17.69,1.73,0.0045,1206.0,2676.76,1.64
2022-02-28,123500,0.41,17.76,1.73,0.0044,1197.5899658203125,2699.18,0.41
2022-03-02,125000,1.21,17.98,1.75,0.004,1205.3699951171875,2703.52,1.62
2022-03-03,129000,3.2,18.56,1.81,0.0042,1203.1500244140625,2747.08,-1.56
2022-03-04,124500,-3.49,17.91,1.75,0.0045,1205.989990234375,2713.43,-1.66
2022-03-07,119500,-4.02,17.19,1.68,0.0071,1216.7099609375,2651.31,-3.62
2022-03-08,118000,-1.26,16.97,1.66,0.005,1232.300048828125,2622.4,-0.28
2022-03-10,120000,1.69,17.26,1.68,0.0054,1223.22998046875,2680.32,-0.95
2022-03-11,117000,-2.5,16.83,1.64,0.0042,1228.5999755859375,2661.28,-2.18
2022-03-14,116000,-0.85,16.69,1.63,0.0044,1236.8900146484375,2645.65,-2.04
2022-03-15,112500,-3.02,16.18,1.58,0.0049,1242.050048828125,2621.53,2.92
2022-03-16,116500,3.56,16.76,1.63,0.0051,1241.6800537109375,2659.23,3.77
2022-03-17,124000,6.44,17.84,1.74,0.0099,1223.0,2694.51,1.33
2022-03-18,124000,0.0,17.84,1.74,0.0062,1210.3299560546875,2707.02,2.05
2022-03-21,122000,-1.61,17.55,1.71,0.0047,1210.3699951171875,2686.05,-0.4
2022-03-22,123500,1.23,17.76,1.73,0.0031,1219.780029296875,2710.0,1.95
2022-03-23,123500,0.0,17.76,1.73,0.0056,1214.949951171875,2735.05,-1.32
2022-03-24,120500,-2.43,17.33,1.69,0.0058,1218.010009765625,2729.66,1.93
2022-03-25,118000,-2.07,16.97,1.66,0.0076,1217.550048828125,2729.98,-0.16
2022-03-28,118000,0.0,16.97,1.66,0.0044,1224.3800048828125,2729.56,1.31
2022-03-29,120000,1.69,17.26,1.68,0.0046,1223.6600341796875,2741.07,1.84
2022-03-30,121000,0.83,17.41,1.7,0.0047,1209.1300048828125,2746.74,-1.21
2022-03-31,118000,-2.48,16.97,1.66,0.0063,1210.43994140625,2757.65,-1.54
2022-04-01,116000,-1.69,16.69,1.63,0.0053,1214.5,2739.85,0.29
2022-04-04,117000,0.86,16.83,1.64,0.0034,1218.780029296875,2757.9,1.9
2022-04-05,116500,-0.43,16.76,1.63,0.0029,1213.9000244140625,2759.2,-2.26
2022-04-06,113000,-3.0,16.25,1.59,0.0062,1218.75,2735.03,-2.22
2022-04-07,113500,0.44,16.33,1.59,0.0069,1217.5999755859375,2695.86,0.06
2022-04-08,112000,-1.32,16.11,1.57,0.0059,1222.6600341796875,2700.39,-1.34
2022-04-11,111500,-0.45,16.04,1.56,0.0033,1228.239990234375,2693.1,-2.18
2022-04-12,111000,-0.45,15.97,1.56,0.0038,1235.050048828125,2666.76,-0.3
2022-04-13,113000,1.8,16.25,1.59,0.0034,1228.5999755859375,2716.49,2.03
2022-04-14,110000,-2.65,15.82,1.54,0.0065,1223.1199951171875,2716.71,-2.14
2022-04-18,109000,0.93,15.68,1.53,0.0037,1228.0899658203125,2693.21,-0.14
2022-04-19,112500,3.21,16.18,1.58,0.0041,1235.3499755859375,2718.89,2.15
2022-04-20,112500,0.0,16.18,1.58,0.004,1239.5999755859375,2718.69,-1.22
2022-04-21,113000,0.44,16.25,1.59,0.0044,1234.0899658203125,2728.21,-2.07
2022-04-22,110500,-2.21,15.89,1.55,0.0032,1242.489990234375,2704.71,-2.55
2022-04-25,108000,-2.26,15.54,1.52,0.0031,1243.1600341796875,2657.13,1.29
2022-04-26,111000,2.78,15.97,1.56,0.0041,1249.2099609375,2668.31,-3.95
2022-04-27,108500,-2.25,15.61,1.52,0.0045,1260.7099609375,2639.06,-0.01
2022-04-28,109500,0.92,15.75,1.54,0.0039,1266.280029296875,2667.49,3.06
2022-04-29,112500,2.74,16.18,1.58,0.0052,1272.2900390625,2695.05,-4.17
2022-05-02,110500,-1.78,7.90,1.22,0.003,1262.530029296875,2687.45,1.63
2022-05-03,110000,-0.45,7.86,1.22,0.0037,1266.75,2680.46,0.22
2022-05-04,109500,-0.45,7.83,1.21,0.0034,1261.06005859375,2677.57,3.19
2022-05-06,107500,-1.83,7.68,1.19,0.0035,1268.699951171875,2644.51,-1.4
2022-05-09,107500,0.0,7.68,1.19,0.003,1270.1300048828125,2610.81,-4.29
2022-05-10,110000,2.33,7.86,1.22,0.0057,1274.8599853515625,2596.56,0.98
2022-05-11,110500,0.45,7.90,1.22,0.005,1276.550048828125,2592.27,-3.18
2022-05-12,109000,-1.36,7.79,1.21,0.0057,1278.1500244140625,2550.08,0.06
2022-05-13,112500,3.21,8.04,1.24,0.0055,1290.75,2604.24,3.82
2022-05-16,110500,-1.78,7.90,1.22,0.0054,1277.5699462890625,2596.58,-1.2
2022-05-17,112500,1.81,8.04,1.24,0.0028,1279.8499755859375,2620.44,2.76
2022-05-18,113500,0.89,8.11,1.26,0.0049,1266.6600341796875,2625.98,-4.73
2022-05-19,111000,-2.2,7.93,1.23,0.0051,1275.5799560546875,2592.34,-0.26
2022-05-20,112500,1.35,8.04,1.24,0.0033,1263.550048828125,2639.29,-0.3
2022-05-23,113000,0.44,8.08,1.25,0.0043,1273.2099609375,2647.38,1.59
2022-05-24,108500,-3.98,7.76,1.2,0.0062,1258.8199462890625,2605.87,-2.35
2022-05-25,108000,-0.46,7.72,1.19,0.0057,1260.989990234375,2617.22,1.51
