Date,Close,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률,회전율,환율,코스피,나스닥
2016-04-21,1294000,-5000,-0.38,153105,8.45,953266,1.36,20000,1.55,0.001,1130.0999755859375,2022.1,-0.05
2016-04-22,1280000,-14000,-1.08,153105,8.36,953266,1.34,20000,1.56,0.0008,1138.25,2015.49,-0.8
2016-04-25,1281000,1000,0.08,153105,8.37,953266,1.34,20000,1.56,0.0006,1147.6500244140625,2014.55,-0.21
2016-04-26,1296000,15000,1.17,153105,8.46,953266,1.36,20000,1.54,0.0012,1148.52001953125,2019.63,-0.15
2016-04-27,1300000,4000,0.31,153105,8.49,953266,1.36,20000,1.54,0.0011,1144.8800048828125,2015.4,-0.51
2016-04-28,1265000,-35000,-2.69,153105,8.26,953266,1.33,20000,1.58,0.002,1146.0999755859375,2000.93,-1.19
2016-04-29,1245000,-20000,-1.58,153105,8.13,953266,1.31,20000,1.61,0.0022,1134.0,1994.15,-0.62
2016-05-02,1250000,5000,0.4,126305,9.9,1016129,1.23,21000,1.68,0.001,1143.0,1978.15,0.88
2016-05-03,1261000,11000,0.88,126305,9.98,1016129,1.24,21000,1.67,0.0011,1135.5,1986.41,-1.13
2016-05-04,1290000,29000,2.3,126305,10.21,1016129,1.27,21000,1.63,0.0021,1149.97998046875,1976.71,-0.79
2016-05-09,1299000,9000,0.7,126305,10.28,1016129,1.28,21000,1.62,0.0022,1167.3399658203125,1967.81,0.3
2016-05-10,1296000,-3000,-0.23,126305,10.26,1016129,1.28,21000,1.62,0.0012,1173.050048828125,1982.5,1.26
2016-05-11,1292000,-4000,-0.31,126305,10.23,1016129,1.27,21000,1.63,0.0012,1169.3299560546875,1980.1,-1.02
2016-05-12,1281000,-11000,-0.85,126305,10.14,1016129,1.26,21000,1.64,0.0011,1162.9000244140625,1977.49,-0.49
2016-05-13,1253000,-28000,-2.19,126305,9.92,1016129,1.23,21000,1.68,0.0017,1167.4000244140625,1966.99,-0.41
2016-05-16,1248000,-5000,-0.4,126305,9.88,1016129,1.23,21000,1.68,0.0016,1174.9000244140625,1967.91,1.22
2016-05-17,1264000,16000,1.28,126305,10.01,1016129,1.24,21000,1.66,0.0013,1176.449951171875,1968.06,-1.25
2016-05-18,1268000,4000,0.32,126305,10.04,1016129,1.25,21000,1.66,0.0013,1173.3299560546875,1956.73,0.5
2016-05-19,1270000,2000,0.16,126305,10.06,1016129,1.25,21000,1.65,0.0014,1186.8499755859375,1946.78,-0.56
2016-05-20,1269000,-1000,-0.08,126305,10.05,1016129,1.25,21000,1.65,0.0011,1185.449951171875,1947.67,1.21
2016-05-23,1286000,17000,1.34,126305,10.18,1016129,1.27,21000,1.63,0.0011,1188.4599609375,1955.25,-0.08
2016-05-24,1271000,-15000,-1.17,126305,10.06,1016129,1.25,21000,1.65,0.0015,1181.550048828125,1937.68,2.0
2016-05-25,1295000,24000,1.89,126305,10.25,1016129,1.27,21000,1.62,0.0017,1185.550048828125,1960.51,0.7
2016-05-26,1296000,1000,0.08,126305,10.26,1016129,1.28,21000,1.62,0.0018,1178.8499755859375,1957.06,0.14
2016-05-27,1282000,-14000,-1.08,126305,10.15,1016129,1.26,21000,1.64,0.0019,1177.949951171875,1969.17,0.65
2016-05-31,1292000,12000,0.94,126305,10.23,1016129,1.27,21000,1.63,0.0087,1198.449951171875,1983.4,0.29
2016-06-01,1333000,41000,3.17,126305,10.55,1016129,1.31,21000,1.58,0.0033,1187.739990234375,1982.72,0.08
2016-06-02,1365000,32000,2.4,126305,10.81,1016129,1.34,21000,1.54,0.0033,1190.1500244140625,1985.11,0.39
2016-06-03,1377000,12000,0.88,126305,10.9,1016129,1.36,21000,1.53,0.0024,1184.300048828125,1985.84,-0.58
2016-06-07,1398000,21000,1.53,126305,11.07,1016129,1.38,21000,1.5,0.0032,1157.9000244140625,2011.63,-0.14
2016-06-08,1406000,8000,0.57,126305,11.13,1016129,1.38,21000,1.49,0.0026,1154.5,2027.08,0.26
2016-06-09,1430000,24000,1.71,126305,11.32,1016129,1.41,21000,1.47,0.0036,1150.25,2024.17,-0.32
2016-06-10,1406000,-24000,-1.68,126305,11.13,1016129,1.38,21000,1.49,0.002,1156.199951171875,2017.63,-1.29
2016-06-13,1371000,-35000,-2.49,126305,10.85,1016129,1.35,21000,1.53,0.0021,1169.47998046875,1979.06,-0.94
2016-06-14,1380000,9000,0.66,126305,10.93,1016129,1.36,21000,1.52,0.0017,1170.1500244140625,1972.03,-0.1
2016-06-15,1413000,33000,2.39,126305,11.19,1016129,1.39,21000,1.49,0.0021,1173.3900146484375,1968.83,-0.18
2016-06-16,1409000,-4000,-0.28,126305,11.16,1016129,1.39,21000,1.49,0.002,1166.699951171875,1951.99,0.21
2016-06-17,1426000,17000,1.21,126305,11.29,1016129,1.4,21000,1.47,0.0023,1169.5799560546875,1953.4,-0.92
2016-06-20,1431000,5000,0.35,126305,11.33,1016129,1.41,21000,1.47,0.0019,1168.56005859375,1981.12,0.77
2016-06-21,1448000,17000,1.19,126305,11.46,1016129,1.43,21000,1.45,0.0014,1159.3499755859375,1982.7,0.14
2016-06-22,1445000,-3000,-0.21,126305,11.44,1016129,1.42,21000,1.45,0.0013,1151.5999755859375,1992.58,-0.22
2016-06-23,1430000,-15000,-1.04,126305,11.32,1016129,1.41,21000,1.47,0.0016,1149.9000244140625,1986.71,1.59
2016-06-24,1400000,-30000,-2.1,126305,11.08,1016129,1.38,21000,1.5,0.0029,1141.260009765625,1925.24,-4.12
2016-06-27,1398000,-2000,-0.14,126305,11.07,1016129,1.38,21000,1.5,0.0017,1170.6099853515625,1926.85,-2.41
2016-06-28,1399000,1000,0.07,126305,11.08,1016129,1.38,21000,1.5,0.0015,1177.6500244140625,1936.22,2.12
2016-06-29,1396000,-3000,-0.21,126305,11.05,1016129,1.37,21000,1.5,0.0015,1165.3800048828125,1956.36,1.86
