Date,Close,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률,회전율,환율,코스피,나스닥
2016-03-16,29200,-700,-2.34,5842,5.00,24775,1.18,300,1.03,0.004,1191.969970703125,1974.9,0.75
2016-03-17,29250,50,0.17,5842,5.01,24775,1.18,300,1.03,0.0038,1175.8499755859375,1987.99,0.23
2016-03-18,29450,200,0.68,5842,5.04,24775,1.19,300,1.02,0.0039,1152.75,1992.12,0.43
2016-03-21,29550,100,0.34,5842,5.06,24775,1.19,300,1.02,0.0024,1162.300048828125,1989.76,0.28
2016-03-22,30200,650,2.2,5842,5.17,24775,1.22,300,0.99,0.0035,1159.0999755859375,1996.81,0.27
2016-03-23,30250,50,0.17,5842,5.18,24775,1.22,300,0.99,0.0026,1154.800048828125,1995.12,-1.1
2016-03-24,29450,-800,-2.64,5842,5.04,24775,1.19,300,1.02,0.0049,1166.1500244140625,1985.97,0.1
2016-03-28,28550,-600,-2.06,5842,4.89,24775,1.15,300,1.05,0.0038,1166.1500244140625,1982.54,-0.14
2016-03-29,28900,350,1.23,5842,4.95,24775,1.17,300,1.04,0.0032,1166.1500244140625,1994.91,1.67
2016-03-30,28650,-250,-0.87,5842,4.90,24775,1.16,300,1.05,0.0048,1156.0799560546875,2002.14,0.47
2016-03-31,28150,-500,-1.75,5842,4.82,24775,1.14,300,1.07,0.006,1140.22998046875,1995.85,0.01
2016-04-01,28200,50,0.18,5842,4.83,24775,1.14,300,1.06,0.0041,1140.800048828125,1973.57,0.92
2016-04-04,27900,-300,-1.06,5842,4.78,24775,1.13,300,1.08,0.0039,1145.8199462890625,1978.97,-0.46
2016-04-05,27850,-50,-0.18,5842,4.77,24775,1.12,300,1.08,0.0028,1148.6300048828125,1962.74,-0.98
2016-04-06,27500,-350,-1.26,5842,4.71,24775,1.11,300,1.09,0.0033,1158.5,1971.32,1.59
2016-04-07,26900,-600,-2.18,5842,4.60,24775,1.09,300,1.12,0.0063,1153.1500244140625,1973.89,-1.47
2016-04-08,27800,900,3.35,5842,4.76,24775,1.12,300,1.08,0.0051,1156.1500244140625,1972.05,0.05
2016-04-11,27150,-650,-2.34,5842,4.65,24775,1.1,300,1.1,0.0033,1149.5,1970.37,-0.36
2016-04-12,27150,0,0.0,5842,4.65,24775,1.1,300,1.1,0.0025,1140.5,1981.32,0.8
2016-04-14,27250,100,0.37,5842,4.66,24775,1.1,300,1.1,0.0065,1143.75,2015.93,-0.03
2016-04-15,27650,400,1.47,5842,4.73,24775,1.12,300,1.08,0.0038,1151.5999755859375,2014.71,-0.16
2016-04-18,27200,-450,-1.63,5842,4.66,24775,1.1,300,1.1,0.0053,1145.0999755859375,2009.1,0.44
2016-04-19,27450,250,0.92,5842,4.70,24775,1.11,300,1.09,0.0025,1141.5999755859375,2011.36,-0.4
2016-04-20,27550,100,0.36,5842,4.72,24775,1.11,300,1.09,0.0044,1125.8499755859375,2005.83,0.16
2016-04-21,27550,0,0.0,5842,4.72,24775,1.11,300,1.09,0.0041,1130.0999755859375,2022.1,-0.05
2016-04-22,27500,-50,-0.18,5842,4.71,24775,1.11,300,1.09,0.0021,1138.25,2015.49,-0.8
2016-04-25,27500,0,0.0,5842,4.71,24775,1.11,300,1.09,0.0021,1147.6500244140625,2014.55,-0.21
2016-04-26,29150,1650,6.0,5842,4.99,24775,1.18,300,1.03,0.0106,1148.52001953125,2019.63,-0.15
2016-04-27,29150,0,0.0,5842,4.99,24775,1.18,300,1.03,0.0085,1144.8800048828125,2015.4,-0.51
2016-04-28,27900,-1250,-4.29,5842,4.78,24775,1.13,300,1.08,0.0093,1146.0999755859375,2000.93,-1.19
2016-04-29,28150,250,0.9,5842,4.82,24775,1.14,300,1.07,0.004,1134.0,1994.15,-0.62
2016-05-02,27850,-300,-1.07,6002,4.64,29377,0.95,500,1.8,0.0018,1143.0,1978.15,0.88
2016-05-03,27650,-200,-0.72,6002,4.61,29377,0.94,500,1.81,0.0019,1135.5,1986.41,-1.13
2016-05-04,26650,-1000,-3.62,6002,4.44,29377,0.91,500,1.88,0.006,1149.97998046875,1976.71,-0.79
2016-05-09,25750,-900,-3.38,6002,4.29,29377,0.88,500,1.94,0.0073,1167.3399658203125,1967.81,0.3
2016-05-10,26400,650,2.52,6002,4.40,29377,0.9,500,1.89,0.0035,1173.050048828125,1982.5,1.26
2016-05-11,26200,-200,-0.76,6002,4.37,29377,0.89,500,1.91,0.0024,1169.3299560546875,1980.1,-1.02
2016-05-12,26100,-100,-0.38,6002,4.35,29377,0.89,500,1.92,0.0024,1162.9000244140625,1977.49,-0.49
2016-05-13,26100,0,0.0,6002,4.35,29377,0.89,500,1.92,0.0025,1167.4000244140625,1966.99,-0.41
2016-05-16,26100,0,0.0,6002,4.35,29377,0.89,500,1.92,0.0018,1174.9000244140625,1967.91,1.22
2016-05-17,25900,-200,-0.77,6002,4.32,29377,0.88,500,1.93,0.0021,1176.449951171875,1968.06,-1.25
2016-05-18,26200,300,1.16,6002,4.37,29377,0.89,500,1.91,0.0034,1173.3299560546875,1956.73,0.5
2016-05-19,26600,400,1.53,6002,4.43,29377,0.91,500,1.88,0.006,1186.8499755859375,1946.78,-0.56
2016-05-20,26300,-300,-1.13,6002,4.38,29377,0.9,500,1.9,0.0031,1185.449951171875,1947.67,1.21
2016-05-23,27200,900,3.42,6002,4.53,29377,0.93,500,1.84,0.0062,1188.4599609375,1955.25,-0.08
2016-05-24,26850,-350,-1.29,6002,4.47,29377,0.91,500,1.86,0.0033,1181.550048828125,1937.68,2.0
2016-05-25,27050,200,0.74,6002,4.51,29377,0.92,500,1.85,0.0031,1185.550048828125,1960.51,0.7
2016-05-26,27000,-50,-0.18,6002,4.50,29377,0.92,500,1.85,0.0027,1178.8499755859375,1957.06,0.14
2016-05-27,28650,1650,6.11,6002,4.77,29377,0.98,500,1.75,0.0106,1177.949951171875,1969.17,0.65
2016-05-31,28700,-300,-1.03,6002,4.78,29377,0.98,500,1.74,0.0074,1198.449951171875,1983.4,0.29
2016-06-01,28500,-200,-0.7,6002,4.75,29377,0.97,500,1.75,0.005,1187.739990234375,1982.72,0.08
