Date,Close,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률,회전율,환율,코스피,나스닥
2019-06-27,54200,-500,-0.91,3424,15.83,56293,0.96,500,0.92,0.0036,1152.5,2134.32,0.73
2019-06-28,53600,-600,-1.11,3424,15.65,56293,0.95,500,0.93,0.0065,1155.510009765625,2130.62,0.48
2019-07-01,55000,1400,2.61,3424,16.06,56293,0.98,500,0.91,0.0089,1155.5999755859375,2129.74,1.06
2019-07-02,54900,-100,-0.18,3424,16.03,56293,0.98,500,0.91,0.003,1159.75,2122.02,0.22
2019-07-03,52300,-2600,-4.74,3424,15.27,56293,0.93,500,0.96,0.0056,1165.5799560546875,2096.02,0.75
2019-07-05,52400,-400,-0.76,3424,15.3,56293,0.93,500,0.95,0.0031,1167.1300048828125,2110.59,-0.1
2019-07-08,50400,-2000,-3.82,3424,14.72,56293,0.9,500,0.99,0.0061,1174.02001953125,2064.17,-0.78
2019-07-09,47850,-2550,-5.06,3424,13.97,56293,0.85,500,1.04,0.0093,1179.8499755859375,2052.03,0.54
2019-07-10,48450,600,1.25,3424,14.15,56293,0.86,500,1.03,0.0097,1181.47998046875,2058.78,0.75
2019-07-11,49500,1050,2.17,3424,14.46,56293,0.88,500,1.01,0.0071,1175.530029296875,2080.58,-0.08
2019-07-12,48850,-650,-1.31,3424,14.27,56293,0.87,500,1.02,0.0054,1174.0799560546875,2086.66,0.59
2019-07-15,48200,-650,-1.33,3424,14.08,56293,0.86,500,1.04,0.0039,1176.4100341796875,2082.48,0.17
2019-07-16,47900,-300,-0.62,3424,13.99,56293,0.85,500,1.04,0.0044,1178.4300537109375,2091.87,-0.43
2019-07-17,46600,-1300,-2.71,3424,13.61,56293,0.83,500,1.07,0.0057,1177.8800048828125,2072.92,-0.46
2019-07-18,46200,-400,-0.86,3424,13.49,56293,0.82,500,1.08,0.0061,1178.68994140625,2066.55,0.27
2019-07-19,46150,-50,-0.11,3424,13.48,56293,0.82,500,1.08,0.0065,1170.77001953125,2094.36,-0.74
2019-07-22,45800,-350,-0.76,3424,13.38,56293,0.81,500,1.09,0.0045,1175.1099853515625,2093.34,0.71
2019-07-23,45600,-200,-0.44,3424,13.32,56293,0.81,500,1.1,0.0059,1174.760009765625,2101.45,0.58
2019-07-24,45300,-300,-0.66,3424,13.23,56293,0.8,500,1.1,0.0059,1176.800048828125,2082.3,0.85
2019-07-25,44250,-1050,-2.32,3424,12.92,56293,0.79,500,1.13,0.0098,1176.550048828125,2074.48,-1.0
2019-07-26,43350,-900,-2.03,3424,12.66,56293,0.77,500,1.15,0.0077,1182.3900146484375,2066.26,1.11
2019-07-29,43100,-250,-0.58,3424,12.59,56293,0.77,500,1.16,0.0085,1183.3499755859375,2029.48,-0.44
2019-07-30,43250,150,0.35,3424,12.63,56293,0.77,500,1.16,0.0055,1181.8499755859375,2038.68,-0.24
2019-07-31,43050,-200,-0.46,3424,12.57,56293,0.76,500,1.16,0.0059,1180.6500244140625,2024.55,-1.19
2019-08-01,42350,-700,-1.63,3424,12.37,56293,0.75,500,1.18,0.0056,1186.31005859375,2017.34,-0.79
2019-08-02,41900,-450,-1.06,3424,12.24,56293,0.74,500,1.19,0.0064,1194.75,1998.13,-1.32
2019-08-05,39750,-2150,-5.13,3424,11.61,56293,0.71,500,1.26,0.0086,1203.93994140625,1946.98,-3.47
2019-08-06,39650,-100,-0.25,3424,11.58,56293,0.7,500,1.26,0.0103,1216.6500244140625,1917.5,1.39
2019-08-07,38800,-850,-2.14,3424,11.33,56293,0.69,500,1.29,0.0081,1212.530029296875,1909.71,0.38
2019-08-08,40000,1200,3.09,3424,11.68,56293,0.71,500,1.25,0.008,1212.22998046875,1920.61,2.24
2019-08-09,40100,100,0.25,3424,11.71,56293,0.71,500,1.25,0.0046,1207.030029296875,1937.75,-1.0
2019-08-12,41350,1250,3.12,3424,12.08,56293,0.73,500,1.21,0.0071,1213.199951171875,1942.29,-1.2
2019-08-13,40250,-1100,-2.66,3424,11.76,56293,0.72,500,1.24,0.0049,1217.6300048828125,1925.83,1.95
2019-08-14,39550,-700,-1.74,3424,11.55,56293,0.7,500,1.26,0.0061,1204.72998046875,1938.37,-3.02
2019-08-16,39500,-50,-0.13,3424,11.54,56293,0.7,500,1.27,0.0035,1211.5,1927.17,1.67
2019-08-19,40850,1350,3.42,3424,11.93,56293,0.73,500,1.22,0.0045,1207.489990234375,1939.9,1.35
2019-08-20,41050,200,0.49,3424,11.99,56293,0.73,500,1.22,0.0037,1210.530029296875,1960.25,-0.68
2019-08-21,40800,-250,-0.61,3424,11.92,56293,0.72,500,1.23,0.0037,1205.280029296875,1964.65,0.9
2019-08-22,41250,450,1.1,3424,12.05,56293,0.73,500,1.21,0.0057,1201.3199462890625,1951.01,-0.36
2019-08-23,40500,-750,-1.82,3424,11.83,56293,0.72,500,1.23,0.0035,1208.56005859375,1948.3,-3.0
2019-08-26,39500,-1000,-2.47,3424,11.54,56293,0.7,500,1.27,0.0046,1212.6500244140625,1916.31,1.32
2019-08-27,40200,700,1.77,3424,11.74,56293,0.71,500,1.24,0.0055,1210.72998046875,1924.6,-0.34
2019-08-28,40350,150,0.37,3424,11.78,56293,0.72,500,1.24,0.0031,1210.760009765625,1941.09,0.38
2019-08-29,40050,-300,-0.74,3424,11.7,56293,0.71,500,1.25,0.0033,1211.3699951171875,1933.41,1.48
2019-08-30,41350,1300,3.25,3424,12.08,56293,0.73,500,1.21,0.0051,1207.1600341796875,1967.79,-0.13
2019-09-03,41150,0,0.0,3424,12.02,56293,0.73,500,1.22,0.0029,1212.77001953125,1965.69,-1.11
2019-09-04,41450,300,0.73,3424,12.11,56293,0.74,500,1.21,0.0032,1210.47998046875,1988.53,1.3
2019-09-05,41950,500,1.21,3424,12.25,56293,0.75,500,1.19,0.0065,1202.68994140625,2004.75,1.75
2019-09-06,42400,450,1.07,3424,12.38,56293,0.75,500,1.18,0.0042,1196.0,2009.13,-0.17
2019-09-09,42050,-350,-0.83,3424,12.28,56293,0.75,500,1.19,0.0033,1191.6199951171875,2019.55,-0.19
2019-09-10,44500,2450,5.83,3424,13.0,56293,0.79,500,1.12,0.0113,1190.8599853515625,2032.08,-0.04
2019-09-11,45150,650,1.46,3424,13.19,56293,0.8,500,1.11,0.0104,1189.5,2049.2,1.06
2019-09-16,48200,3050,6.76,3424,14.08,56293,0.86,500,1.04,0.0143,1178.719970703125,2062.22,-0.28
2019-09-17,48100,-100,-0.21,3424,14.05,56293,0.85,500,1.04,0.0082,1183.2900390625,2062.33,0.4
2019-09-18,47800,-300,-0.62,3424,13.96,56293,0.85,500,1.05,0.006,1185.6500244140625,2070.73,-0.11
2019-09-19,46850,-950,-1.99,3424,13.68,56293,0.83,500,1.07,0.0069,1189.550048828125,2080.35,0.07
2019-09-20,47500,650,1.39,3424,13.87,56293,0.84,500,1.05,0.0046,1193.8599853515625,2091.52,-0.8
2019-09-23,47050,-450,-0.95,3424,13.74,56293,0.84,500,1.06,0.004,1193.1300048828125,2091.7,-0.06
2019-09-24,48200,1150,2.44,3424,14.08,56293,0.86,500,1.04,0.0068,1193.010009765625,2101.04,-1.46
2019-09-25,46150,-2050,-4.25,3424,13.48,56293,0.82,500,1.08,0.0064,1193.93994140625,2073.39,1.05
2019-09-26,46800,650,1.41,3424,13.67,56293,0.83,500,1.07,0.0034,1197.8900146484375,2074.52,-0.58
2019-09-27,45800,-1000,-2.14,3424,13.38,56293,0.81,500,1.09,0.0035,1198.6300048828125,2049.93,-1.13
2019-09-30,46300,500,1.09,3424,13.52,56293,0.82,500,1.08,0.0027,1201.9100341796875,2063.05,0.75
2019-10-01,46400,100,0.22,3424,13.55,56293,0.82,500,1.08,0.0025,1198.0,2072.42,-1.13
2019-10-02,46150,-250,-0.54,3424,13.48,56293,0.82,500,1.08,0.0041,1201.68994140625,2031.91,-1.56
