Date,Close,대비,등락률,BPS,PBR,주당배당금,배당수익률
2019/10/28,211500,-1500,-0.7,497452,0.43,10000,4.73
2019/10/29,212000,500,0.24,497452,0.43,10000,4.72
2019/10/30,211000,-1000,-0.47,497452,0.42,10000,4.74
2019/10/31,211500,500,0.24,497452,0.43,10000,4.73
2019/11/01,213500,2000,0.95,497452,0.43,10000,4.68
2019/11/04,217000,3500,1.64,497452,0.44,10000,4.61
2019/11/05,219000,2000,0.92,497452,0.44,10000,4.57
2019/11/06,217000,-2000,-0.91,497452,0.44,10000,4.61
2019/11/07,217500,500,0.23,497452,0.44,10000,4.6
2019/11/08,224000,6500,2.99,497452,0.45,10000,4.46
2019/11/11,223500,-500,-0.22,497452,0.45,10000,4.47
2019/11/12,223000,-500,-0.22,497452,0.45,10000,4.48
2019/11/13,221000,-2000,-0.9,497452,0.44,10000,4.52
2019/11/14,220000,-1000,-0.45,497452,0.44,10000,4.55
2019/11/15,224000,4000,1.82,497452,0.45,10000,4.46
2019/11/18,227500,3500,1.56,497452,0.46,10000,4.4
2019/11/19,225500,-2000,-0.88,497452,0.45,10000,4.43
2019/11/20,222500,-3000,-1.33,497452,0.45,10000,4.49
2019/11/21,220500,-2000,-0.9,497452,0.44,10000,4.54
2019/11/22,220000,-500,-0.23,497452,0.44,10000,4.55
2019/11/25,228000,8000,3.64,497452,0.46,10000,4.39
2019/11/26,233500,5500,2.41,497452,0.47,10000,4.28
2019/11/27,233000,-500,-0.21,497452,0.47,10000,4.29
2019/11/28,232500,-500,-0.21,497452,0.47,10000,4.3
2019/11/29,230500,-2000,-0.86,497452,0.46,10000,4.34
2019/12/02,232000,1500,0.65,497452,0.47,10000,4.31
2019/12/03,231000,-1000,-0.43,497452,0.46,10000,4.33
2019/12/04,227000,-4000,-1.73,497452,0.46,10000,4.41
2019/12/05,229000,2000,0.88,497452,0.46,10000,4.37
2019/12/06,230500,1500,0.66,497452,0.46,10000,4.34
2019/12/09,233000,2500,1.08,497452,0.47,10000,4.29
2019/12/10,231500,-1500,-0.64,497452,0.47,10000,4.32
2019/12/11,231000,-500,-0.22,497452,0.46,10000,4.33
2019/12/12,235500,4500,1.95,497452,0.47,10000,4.25
2019/12/13,243000,7500,3.18,497452,0.49,10000,4.12
2019/12/16,242500,-500,-0.21,497452,0.49,10000,4.12
2019/12/17,247500,5000,2.06,497452,0.5,10000,4.04
2019/12/18,248500,1000,0.4,497452,0.5,10000,4.02
2019/12/19,246500,-2000,-0.8,497452,0.5,10000,4.06
2019/12/20,246000,-500,-0.2,497452,0.49,10000,4.07
2019/12/23,243500,-2500,-1.02,497452,0.49,10000,4.11
2019/12/24,240000,-3500,-1.44,497452,0.48,10000,4.17
2019/12/26,243000,3000,1.25,497452,0.49,10000,4.12
2019/12/27,238500,-4500,-1.85,497452,0.48,10000,4.19
2019/12/30,236500,-2000,-0.84,497452,0.48,10000,4.23
2020/01/02,236000,-500,-0.21,497452,0.47,10000,4.24
2020/01/03,237000,1000,0.42,497452,0.48,10000,4.22
2020/01/06,231000,-6000,-2.53,497452,0.46,10000,4.33
2020/01/07,232000,1000,0.43,497452,0.47,10000,4.31
2020/01/08,228000,-4000,-1.72,497452,0.46,10000,4.39
2020/01/09,234000,6000,2.63,497452,0.47,10000,4.27
2020/01/10,237500,3500,1.5,497452,0.48,10000,4.21
2020/01/13,238500,1000,0.42,497452,0.48,10000,4.19
2020/01/14,242000,3500,1.47,497452,0.49,10000,4.13
2020/01/15,242000,0,0.0,497452,0.49,10000,4.13
2020/01/16,241500,-500,-0.21,497452,0.49,10000,4.14
2020/01/17,241500,0,0.0,497452,0.49,10000,4.14
2020/01/20,247000,5500,2.28,497452,0.5,10000,4.05
2020/01/21,244000,-3000,-1.21,497452,0.49,10000,4.1
2020/01/22,241500,-2500,-1.02,497452,0.49,10000,4.14
2020/01/23,240500,-1000,-0.41,497452,0.48,10000,4.16
2020/01/28,226000,-14500,-6.03,497452,0.45,10000,4.42
2020/01/29,226500,500,0.22,497452,0.46,10000,4.42
2020/01/30,224500,-2000,-0.88,497452,0.45,10000,4.45
2020/01/31,221000,-3500,-1.56,497452,0.44,10000,4.52
2020/02/03,214500,-6500,-2.94,497452,0.43,10000,4.66
2020/02/04,214000,-500,-0.23,497452,0.43,10000,4.67
2020/02/05,214500,500,0.23,497452,0.43,10000,4.66
2020/02/06,224000,9500,4.43,497452,0.45,10000,4.46
2020/02/07,223000,-1000,-0.45,497452,0.45,10000,4.48
2020/02/10,220500,-2500,-1.12,497452,0.44,10000,4.54
2020/02/11,222000,1500,0.68,497452,0.45,10000,4.5
2020/02/12,222000,0,0.0,497452,0.45,10000,4.5
