date,close,action
2023-04-12,90300,1
2023-04-13,88700,1
2023-04-14,89300,1
2023-04-17,88500,1
2023-04-18,87600,1
2023-04-19,88200,1
2023-04-20,87700,0
2023-04-21,89100,1
2023-04-24,87200,1
2023-04-25,85500,0
2023-04-26,87400,0
2023-04-27,88800,0
2023-04-28,89500,0
2023-05-02,90200,1
2023-05-03,89800,1
2023-05-04,88700,1
2023-05-08,88700,1
2023-05-09,87300,1
2023-05-10,86900,1
2023-05-11,86300,0
2023-05-12,87200,0
2023-05-15,86400,0
2023-05-16,90400,1
2023-05-17,91900,0
2023-05-18,93600,1
2023-05-19,97300,1
2023-05-22,98200,1
2023-05-23,97900,1
2023-05-24,97700,1
2023-05-25,103500,1
2023-05-26,109200,1
2023-05-30,110300,1
2023-05-31,108600,1
2023-06-01,110300,1
2023-06-02,110300,1
2023-06-05,108700,1
2023-06-07,108000,1
2023-06-08,109700,1
2023-06-09,115400,1
2023-06-12,114800,1
2023-06-13,119500,1
2023-06-14,118800,1
2023-06-15,119000,1
2023-06-16,118900,1
2023-06-19,114800,1
2023-06-20,116100,1
2023-06-21,115100,1
2023-06-22,114000,1
2023-06-23,113600,1
2023-06-26,113500,1
2023-06-27,113000,1
2023-06-28,114300,1
2023-06-29,116200,1
2023-06-30,115200,1
2023-07-03,117600,1
2023-07-04,117900,1
2023-07-05,116700,1
2023-07-06,113800,1
2023-07-07,111800,1
2023-07-10,110300,1
2023-07-11,113400,1
2023-07-12,115400,1
2023-07-13,114100,1
2023-07-14,118000,1
2023-07-17,117200,1
2023-07-18,117800,1
2023-07-19,117500,1
2023-07-20,116900,1
2023-07-21,115100,1
2023-07-24,114000,1
2023-07-25,113400,1
2023-07-26,113000,1
2023-07-27,124000,1
2023-07-28,128000,1
2023-07-31,123400,1
2023-08-01,125100,1
2023-08-02,119500,1
2023-08-03,120000,1
2023-08-04,120100,1
2023-08-07,121900,1
2023-08-08,118600,1
2023-08-09,118500,1
2023-08-10,118500,1
2023-08-11,115300,1
2023-08-14,114900,1
2023-08-16,115800,1
2023-08-17,114800,1
2023-08-18,117200,1
2023-08-21,116400,1
2023-08-22,116500,1
2023-08-23,116000,1
2023-08-24,120900,1
2023-08-25,116500,1
2023-08-28,115900,1
2023-08-29,118600,1
2023-08-30,119400,1
2023-08-31,121800,1
2023-09-01,120000,1
2023-09-04,119200,1
2023-09-05,119400,1
2023-09-06,118200,1
2023-09-07,118500,1
2023-09-08,113700,1
2023-09-11,115900,1
2023-09-12,116700,1
2023-09-13,118500,1
2023-09-14,122200,1
2023-09-15,122400,1
2023-09-18,119000,1
2023-09-19,119200,1
2023-09-20,118000,1
2023-09-21,116500,1
2023-09-22,117300,1
2023-09-25,117000,1
2023-09-26,115000,1
2023-09-27,114700,1
2023-10-04,115400,1
2023-10-05,120200,1
2023-10-06,120400,1
2023-10-10,119500,1
2023-10-11,119200,1
2023-10-12,124200,1
2023-10-13,124700,1
2023-10-16,124100,1
2023-10-17,130000,1
2023-10-18,130000,1
2023-10-19,125700,1
2023-10-20,126200,1
2023-10-23,124000,1
2023-10-24,126800,1
