Date,Close,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
2017/11/29,35400,-500,-1.39,4403,8.04,-,-,56944,0.62,500,1.41
2017/11/30,35050,-350,-0.99,4403,7.96,-,-,56944,0.62,500,1.43
2017/12/01,34700,-350,-1.00,4403,7.88,-,-,56944,0.61,500,1.44
2017/12/04,35350,650,+1.87,4403,8.03,-,-,56944,0.62,500,1.41
2017/12/05,36750,1400,+3.96,4403,8.35,-,-,56944,0.65,500,1.36
2017/12/06,36050,-700,-1.90,4403,8.19,-,-,56944,0.63,500,1.39
2017/12/07,35500,-550,-1.53,4403,8.06,-,-,56944,0.62,500,1.41
2017/12/08,34650,-850,-2.39,4403,7.87,-,-,56944,0.61,500,1.44
2017/12/11,34650,0,0.00,4403,7.87,-,-,56944,0.61,500,1.44
2017/12/12,34800,150,+0.43,4403,7.90,-,-,56944,0.61,500,1.44
2017/12/13,36550,1750,+5.03,4403,8.30,-,-,56944,0.64,500,1.37
2017/12/14,34700,-1850,-5.06,4403,7.88,-,-,56944,0.61,500,1.44
2017/12/15,36000,1300,+3.75,4403,8.18,-,-,56944,0.63,500,1.39
2017/12/18,36300,300,+0.83,4403,8.24,-,-,56944,0.64,500,1.38
2017/12/19,35800,-500,-1.38,4403,8.13,-,-,56944,0.63,500,1.40
2017/12/20,36100,300,+0.84,4403,8.20,-,-,56944,0.63,500,1.39
2017/12/21,35500,-600,-1.66,4403,8.06,-,-,56944,0.62,500,1.41
2017/12/22,34900,-600,-1.69,4403,7.93,-,-,56944,0.61,500,1.43
2017/12/26,35350,450,+1.29,4403,8.03,-,-,56944,0.62,500,1.41
2017/12/27,35350,0,0.00,4403,8.03,-,-,56944,0.62,500,1.41
2017/12/28,36300,950,+2.69,4403,8.24,-,-,56944,0.64,500,1.38
2018/01/02,37150,850,+2.34,4403,8.44,-,-,56944,0.65,500,1.35
2018/01/03,36300,-850,-2.29,4403,8.24,-,-,56944,0.64,500,1.38
2018/01/04,37950,1650,+4.55,4403,8.62,-,-,56944,0.67,500,1.32
2018/01/05,38050,100,+0.26,4403,8.64,-,-,56944,0.67,500,1.31
2018/01/08,38350,300,+0.79,4403,8.71,-,-,56944,0.67,500,1.30
2018/01/09,38400,50,+0.13,4403,8.72,-,-,56944,0.67,500,1.30
2018/01/10,40450,2050,+5.34,4403,9.19,-,-,56944,0.71,500,1.24
2018/01/11,39650,-800,-1.98,4403,9.01,-,-,56944,0.70,500,1.26
2018/01/12,40000,350,+0.88,4403,9.08,-,-,56944,0.70,500,1.25
2018/01/15,40350,350,+0.88,4403,9.16,-,-,56944,0.71,500,1.24
2018/01/16,39400,-950,-2.35,4403,8.95,-,-,56944,0.69,500,1.27
2018/01/17,39100,-300,-0.76,4403,8.88,-,-,56944,0.69,500,1.28
2018/01/18,38050,-1050,-2.69,4403,8.64,-,-,56944,0.67,500,1.31
2018/01/19,40000,1950,+5.12,4403,9.08,-,-,56944,0.70,500,1.25
2018/01/22,40000,0,0.00,4403,9.08,-,-,56944,0.70,500,1.25
2018/01/23,41000,1000,+2.50,4403,9.31,-,-,56944,0.72,500,1.22
2018/01/24,40850,-150,-0.37,4403,9.28,-,-,56944,0.72,500,1.22
2018/01/25,42150,1300,+3.18,4403,9.57,-,-,56944,0.74,500,1.19
2018/01/26,40800,-1350,-3.20,4403,9.27,-,-,56944,0.72,500,1.23
2018/01/29,43600,2800,+6.86,4403,9.90,-,-,56944,0.77,500,1.15
2018/01/30,43400,-200,-0.46,4403,9.86,-,-,56944,0.76,500,1.15
2018/01/31,42900,-500,-1.15,4403,9.74,-,-,56944,0.75,500,1.17
2018/02/01,44150,1250,+2.91,4403,10.03,-,-,56944,0.78,500,1.13
2018/02/02,43450,-700,-1.59,4403,9.87,-,-,56944,0.76,500,1.15
2018/02/05,43450,0,0.00,4403,9.87,-,-,56944,0.76,500,1.15
2018/02/06,43250,-200,-0.46,4403,9.82,-,-,56944,0.76,500,1.16
2018/02/07,41000,-2250,-5.20,4403,9.31,-,-,56944,0.72,500,1.22
2018/02/08,40350,-650,-1.59,4403,9.16,-,-,56944,0.71,500,1.24
2018/02/09,39100,-1250,-3.10,4403,8.88,-,-,56944,0.69,500,1.28
2018/02/12,38650,-450,-1.15,4403,8.78,-,-,56944,0.68,500,1.29
2018/02/13,38350,-300,-0.78,4403,8.71,-,-,56944,0.67,500,1.30
2018/02/14,39300,950,+2.48,4403,8.93,-,-,56944,0.69,500,1.27
2018/02/19,41300,2000,+5.09,4403,9.38,-,-,56944,0.73,500,1.21
2018/02/20,41150,-150,-0.36,4403,9.35,-,-,56944,0.72,500,1.22
2018/02/21,40050,-1100,-2.67,4403,9.10,-,-,56944,0.70,500,1.25
2018/02/22,38950,-1100,-2.75,4403,8.85,-,-,56944,0.68,500,1.28
2018/02/23,40250,1300,+3.34,4403,9.14,-,-,56944,0.71,500,1.24
2018/02/26,39900,-350,-0.87,4403,9.06,-,-,56944,0.70,500,1.25
2018/02/27,39150,-750,-1.88,4403,8.89,-,-,56944,0.69,500,1.28
2018/02/28,38500,-650,-1.66,4403,8.74,-,-,56944,0.68,500,1.30
2018/03/02,37800,-700,-1.82,4403,8.59,-,-,56944,0.66,500,1.32
2018/03/05,37450,-350,-0.93,4403,8.51,-,-,56944,0.66,500,1.34
2018/03/06,38150,700,+1.87,4403,8.66,-,-,56944,0.67,500,1.31
2018/03/07,38750,600,+1.57,4403,8.80,-,-,56944,0.68,500,1.29
2018/03/08,40250,1500,+3.87,4403,9.14,-,-,56944,0.71,500,1.24
2018/03/09,43550,3300,+8.20,4403,9.89,-,-,56944,0.76,500,1.15
2018/03/12,43650,100,+0.23,4403,9.91,-,-,56944,0.77,500,1.15
2018/03/13,41600,-2050,-4.70,4403,9.45,-,-,56944,0.73,500,1.20
2018/03/14,40300,-1300,-3.13,4403,9.15,-,-,56944,0.71,500,1.24
2018/03/15,40600,300,+0.74,4403,9.22,-,-,56944,0.71,500,1.23
2018/03/16,40800,200,+0.49,4403,9.27,-,-,56944,0.72,500,1.23
2018/03/19,40950,150,+0.37,4403,9.30,-,-,56944,0.72,500,1.22
2018/03/20,41800,850,+2.08,4403,9.49,-,-,56944,0.73,500,1.20
2018/03/21,41000,-800,-1.91,4403,9.31,-,-,56944,0.72,500,1.22
2018/03/22,40350,-650,-1.59,4403,9.16,-,-,56944,0.71,500,1.24
2018/03/23,38500,-1850,-4.58,4403,8.74,-,-,56944,0.68,500,1.30
2018/03/26,39900,1400,+3.64,4403,9.06,-,-,56944,0.70,500,1.25
2018/03/27,41050,1150,+2.88,4403,9.32,-,-,56944,0.72,500,1.22
2018/03/28,42700,1650,+4.02,4403,9.70,-,-,56944,0.75,500,1.17
2018/03/29,42600,-100,-0.23,4403,9.68,-,-,56944,0.75,500,1.17
2018/03/30,43700,1100,+2.58,4403,9.93,-,-,56944,0.77,500,1.14
2018/04/02,41750,-1950,-4.46,4403,9.48,-,-,56944,0.73,500,1.20
2018/04/03,42550,800,+1.92,4403,9.66,-,-,56944,0.75,500,1.18
2018/04/04,42200,-350,-0.82,4403,9.58,-,-,56944,0.74,500,1.18
2018/04/05,43150,950,+2.25,4403,9.80,-,-,56944,0.76,500,1.16
2018/04/06,43450,300,+0.70,4403,9.87,-,-,56944,0.76,500,1.15
2018/04/09,44650,1200,+2.76,4403,10.14,-,-,56944,0.78,500,1.12
2018/04/10,43400,-1250,-2.80,4403,9.86,-,-,56944,0.76,500,1.15
2018/04/11,42750,-650,-1.50,4403,9.71,-,-,56944,0.75,500,1.17
2018/04/12,42450,-300,-0.70,4403,9.64,-,-,56944,0.75,500,1.18
2018/04/13,42700,250,+0.59,4403,9.70,-,-,56944,0.75,500,1.17
2018/04/16,42200,-500,-1.17,4403,9.58,-,-,56944,0.74,500,1.18
2018/04/17,40550,-1650,-3.91,4403,9.21,-,-,56944,0.71,500,1.23
2018/04/18,44250,3700,+9.12,4403,10.05,-,-,56944,0.78,500,1.13
2018/04/19,49650,5400,+12.20,4403,11.28,-,-,56944,0.87,500,1.01
2018/04/20,50400,750,+1.51,4403,11.45,-,-,56944,0.89,500,0.99
2018/04/23,51100,700,+1.39,4403,11.61,-,-,56944,0.90,500,0.98
2018/04/24,51700,600,+1.17,4403,11.74,-,-,56944,0.91,500,0.97
2018/04/25,49950,-1750,-3.38,4403,11.34,-,-,56944,0.88,500,1.00
2018/04/26,51300,1350,+2.70,4403,11.65,-,-,56944,0.90,500,0.97
2018/04/27,50400,-900,-1.75,4403,11.45,-,-,56944,0.89,500,0.99
2018/04/30,63600,13200,+26.19,4403,14.44,-,-,56944,1.12,500,0.79
2018/05/02,64300,700,+1.10,1810,35.52,-,-,58029,1.11,500,0.78
2018/05/03,61000,-3300,-5.13,1810,33.70,-,-,58029,1.05,500,0.82
2018/05/04,65900,4900,+8.03,1810,36.41,-,-,58029,1.14,500,0.76
