Date,Close,대비,등락률,BPS,PBR,주당배당금,배당수익률
2019/01/24,43050,1050,2.5,28126,1.53,850,1.97
2019/01/25,44750,1700,3.95,28126,1.59,850,1.9
2019/01/28,45050,300,0.67,28126,1.6,850,1.89
2019/01/29,45500,450,1.0,28126,1.62,850,1.87
2019/01/30,46400,900,1.98,28126,1.65,850,1.83
2019/01/31,46150,-250,-0.54,28126,1.64,850,1.84
2019/02/01,46350,200,0.43,28126,1.65,850,1.83
2019/02/07,46200,-150,-0.32,28126,1.64,850,1.84
2019/02/08,44800,-1400,-3.03,28126,1.59,850,1.9
2019/02/11,45000,200,0.45,28126,1.6,850,1.89
2019/02/12,46050,1050,2.33,28126,1.64,850,1.85
2019/02/13,46200,150,0.33,28126,1.64,850,1.84
2019/02/14,47500,1300,2.81,28126,1.69,850,1.79
2019/02/15,46050,-1450,-3.05,28126,1.64,850,1.85
2019/02/18,46200,150,0.33,28126,1.64,850,1.84
2019/02/19,45950,-250,-0.54,28126,1.63,850,1.85
2019/02/20,46900,950,2.07,28126,1.67,850,1.81
2019/02/21,46950,50,0.11,28126,1.67,850,1.81
2019/02/22,47150,200,0.43,28126,1.68,850,1.8
2019/02/25,47350,200,0.42,28126,1.68,850,1.8
2019/02/26,46750,-600,-1.27,28126,1.66,850,1.82
2019/02/27,46750,0,0.0,28126,1.66,850,1.82
2019/02/28,45100,-1650,-3.53,28126,1.6,850,1.88
2019/03/04,44850,-250,-0.55,28126,1.59,850,1.9
2019/03/05,44250,-600,-1.34,28126,1.57,850,1.92
2019/03/06,44000,-250,-0.56,28126,1.56,850,1.93
2019/03/07,44450,450,1.02,28126,1.58,850,1.91
2019/03/08,43800,-650,-1.46,28126,1.56,850,1.94
2019/03/11,43650,-150,-0.34,28126,1.55,850,1.95
