Date,Close,대비,등락률,BPS,PBR,주당배당금,배당수익률
2021/04/30,50400,-3900,-7.18,59778,0.84,600,1.19
2021/05/03,50200,-200,-0.4,59502,0.84,600,1.2
2021/05/04,50500,300,0.6,59502,0.85,600,1.19
2021/05/06,52300,1800,3.56,59502,0.88,600,1.15
2021/05/07,53600,1300,2.49,59502,0.9,600,1.12
2021/05/10,53700,100,0.19,59502,0.9,600,1.12
2021/05/11,54100,400,0.74,59502,0.91,600,1.11
2021/05/12,52100,-2000,-3.7,59502,0.88,600,1.15
2021/05/13,51500,-600,-1.15,59502,0.87,600,1.17
2021/05/14,51900,400,0.78,59502,0.87,600,1.16
2021/05/17,52600,700,1.35,59502,0.88,600,1.14
2021/05/18,53800,1200,2.28,59502,0.9,600,1.12
2021/05/20,53200,-600,-1.12,59502,0.89,600,1.13
2021/05/21,52600,-600,-1.13,59502,0.88,600,1.14
2021/05/24,53200,600,1.14,59502,0.89,600,1.13
2021/05/25,52100,-1100,-2.07,59502,0.88,600,1.15
2021/05/26,52900,800,1.54,59502,0.89,600,1.13
2021/05/27,56300,3400,6.43,59502,0.95,600,1.07
2021/05/28,56100,-200,-0.36,59502,0.94,600,1.07
2021/05/31,57400,1300,2.32,59502,0.96,600,1.05
2021/06/01,57000,-400,-0.7,59502,0.96,600,1.05
2021/06/02,57400,400,0.7,59502,0.96,600,1.05
2021/06/03,56300,-1100,-1.92,59502,0.95,600,1.07
2021/06/04,56100,-200,-0.36,59502,0.94,600,1.07
2021/06/07,56300,200,0.36,59502,0.95,600,1.07
2021/06/08,57800,1500,2.66,59502,0.97,600,1.04
2021/06/09,56900,-900,-1.56,59502,0.96,600,1.05
2021/06/10,55800,-1100,-1.93,59502,0.94,600,1.08
2021/06/11,55600,-200,-0.36,59502,0.93,600,1.08
2021/06/14,55700,100,0.18,59502,0.94,600,1.08
2021/06/15,54300,-1400,-2.51,59502,0.91,600,1.1
2021/06/16,54400,100,0.18,59502,0.91,600,1.1
2021/06/17,54700,300,0.55,59502,0.92,600,1.1
2021/06/18,54800,100,0.18,59502,0.92,600,1.09
2021/06/21,54900,100,0.18,59502,0.92,600,1.09
2021/06/22,55300,400,0.73,59502,0.93,600,1.08
2021/06/23,54100,-1200,-2.17,59502,0.91,600,1.11
2021/06/24,54200,100,0.18,59502,0.91,600,1.11
2021/06/25,55700,1500,2.77,59502,0.94,600,1.08
2021/06/28,58200,2500,4.49,59502,0.98,600,1.03
2021/06/29,58000,-200,-0.34,59502,0.97,600,1.03
2021/06/30,58300,300,0.52,59502,0.98,600,1.03
2021/07/01,57800,-500,-0.86,59502,0.97,600,1.04
2021/07/02,60000,2200,3.81,59502,1.01,600,1.0
2021/07/05,60200,200,0.33,59502,1.01,600,1.0
2021/07/06,59900,-300,-0.5,59502,1.01,600,1.0
2021/07/07,59200,-700,-1.17,59502,0.99,600,1.01
2021/07/08,57700,-1500,-2.53,59502,0.97,600,1.04
2021/07/09,57100,-600,-1.04,59502,0.96,600,1.05
2021/07/12,57700,600,1.05,59502,0.97,600,1.04
2021/07/13,58500,800,1.39,59502,0.98,600,1.03
2021/07/14,57700,-800,-1.37,59502,0.97,600,1.04
2021/07/15,57600,-100,-0.17,59502,0.97,600,1.04
2021/07/16,58400,800,1.39,59502,0.98,600,1.03
2021/07/19,57600,-800,-1.37,59502,0.97,600,1.04
2021/07/20,57500,-100,-0.17,59502,0.97,600,1.04
2021/07/21,56800,-700,-1.22,59502,0.95,600,1.06
2021/07/22,57300,500,0.88,59502,0.96,600,1.05
2021/07/23,55300,-2000,-3.49,59502,0.93,600,1.08
2021/07/26,54000,-1300,-2.35,59502,0.91,600,1.11
2021/07/27,54700,700,1.3,59502,0.92,600,1.1
2021/07/28,55400,700,1.28,59502,0.93,600,1.08
2021/07/29,54900,-500,-0.9,59502,0.92,600,1.09
2021/07/30,54700,-200,-0.36,59502,0.92,600,1.1
2021/08/02,54400,-300,-0.55,59502,0.91,600,1.1
2021/08/03,54700,300,0.55,59502,0.92,600,1.1
2021/08/04,54500,-200,-0.37,59502,0.92,600,1.1
2021/08/05,54000,-500,-0.92,59502,0.91,600,1.11
2021/08/06,54500,500,0.93,59502,0.92,600,1.1
2021/08/09,53700,-800,-1.47,59502,0.9,600,1.12
2021/08/10,52700,-1000,-1.86,59502,0.89,600,1.14
2021/08/11,52600,-100,-0.19,59502,0.88,600,1.14
2021/08/12,52600,0,0.0,59502,0.88,600,1.14
2021/08/13,51900,-700,-1.33,59502,0.87,600,1.16
2021/08/17,50400,-1500,-2.89,59502,0.85,600,1.19
2021/08/18,51400,1000,1.98,59502,0.86,600,1.17
2021/08/19,49050,-2350,-4.57,59502,0.82,600,1.22
2021/08/20,48400,-650,-1.33,59502,0.81,600,1.24
2021/08/23,49100,700,1.45,59502,0.83,600,1.22
2021/08/24,50700,1600,3.26,59502,0.85,600,1.18
2021/08/25,51600,900,1.78,59502,0.87,600,1.16
2021/08/26,52200,600,1.16,59502,0.88,600,1.15
2021/08/27,51800,-400,-0.77,59502,0.87,600,1.16
2021/08/30,53300,1500,2.9,59502,0.9,600,1.13
2021/08/31,55500,2200,4.13,59502,0.93,600,1.08
2021/09/01,54000,0,0.0,57894,0.93,600,1.11
2021/09/02,54000,0,0.0,57894,0.93,600,1.11
2021/09/03,55000,1000,1.85,57894,0.95,600,1.09
2021/09/06,54500,-500,-0.91,57894,0.94,600,1.1
2021/09/07,54000,-500,-0.92,57894,0.93,600,1.11
2021/09/08,53500,-500,-0.93,57894,0.92,600,1.12
2021/09/09,52600,-900,-1.68,57894,0.91,600,1.14
2021/09/10,53500,900,1.71,57894,0.92,600,1.12
2021/09/13,52600,-900,-1.68,57894,0.91,600,1.14
2021/09/14,53900,1300,2.47,57894,0.93,600,1.11
2021/09/15,54600,700,1.3,57894,0.94,600,1.1
2021/09/16,55700,1100,2.01,57894,0.96,600,1.08
2021/09/17,56200,500,0.9,57894,0.97,600,1.07
2021/09/23,54600,-1600,-2.85,57894,0.94,600,1.1
2021/09/24,53200,-1400,-2.56,57894,0.92,600,1.13
2021/09/27,53300,100,0.19,57894,0.92,600,1.13
2021/09/28,52100,-1200,-2.25,57894,0.9,600,1.15
2021/09/29,51500,-600,-1.15,57894,0.89,600,1.17
2021/09/30,51400,-100,-0.19,57894,0.89,600,1.17
2021/10/01,50300,-1100,-2.14,57894,0.87,600,1.19
2021/10/05,51100,800,1.59,57894,0.88,600,1.17
2021/10/06,49100,-2000,-3.91,57894,0.85,600,1.22
2021/10/07,50600,1500,3.05,57894,0.87,600,1.19
2021/10/08,49950,-650,-1.28,57894,0.86,600,1.2
2021/10/12,49600,-350,-0.7,57894,0.86,600,1.21
2021/10/13,50200,600,1.21,57894,0.87,600,1.2
2021/10/14,51200,1000,1.99,57894,0.88,600,1.17
2021/10/15,51700,500,0.98,57894,0.89,600,1.16
2021/10/18,51100,-600,-1.16,57894,0.88,600,1.17
2021/10/19,50900,-200,-0.39,57894,0.88,600,1.18
2021/10/20,50100,-800,-1.57,57894,0.87,600,1.2
2021/10/21,50900,800,1.6,57894,0.88,600,1.18
2021/10/22,50600,-300,-0.59,57894,0.87,600,1.19
2021/10/25,51600,1000,1.98,57894,0.89,600,1.16
2021/10/26,51500,-100,-0.19,57894,0.89,600,1.17
2021/10/27,50800,-700,-1.36,57894,0.88,600,1.18
2021/10/28,50200,-600,-1.18,57894,0.87,600,1.2
2021/10/29,50300,100,0.2,57894,0.87,600,1.19
2021/11/01,51300,1000,1.99,57894,0.89,600,1.17
2021/11/02,51800,500,0.97,57894,0.89,600,1.16
2021/11/03,51400,-400,-0.77,57894,0.89,600,1.17
2021/11/04,51600,200,0.39,57894,0.89,600,1.16
2021/11/05,50600,-1000,-1.94,57894,0.87,600,1.19
2021/11/08,51000,400,0.79,57894,0.88,600,1.18
2021/11/09,50900,-100,-0.2,57894,0.88,600,1.18
2021/11/10,50000,-900,-1.77,57894,0.86,600,1.2
2021/11/11,49000,-1000,-2.0,57894,0.85,600,1.22
2021/11/12,50200,1200,2.45,57894,0.87,600,1.2
2021/11/15,50800,600,1.2,57894,0.88,600,1.18
2021/11/16,50200,-600,-1.18,57894,0.87,600,1.2
2021/11/17,49150,-1050,-2.09,57894,0.85,600,1.22
2021/11/18,48350,-800,-1.63,57894,0.84,600,1.24
2021/11/19,48100,-250,-0.52,57894,0.83,600,1.25
2021/11/22,48050,-50,-0.1,57894,0.83,600,1.25
2021/11/23,47900,-150,-0.31,57894,0.83,600,1.25
2021/11/24,48100,200,0.42,57894,0.83,600,1.25
2021/11/25,47800,-300,-0.62,57894,0.83,600,1.26
2021/11/26,46450,-1350,-2.82,57894,0.8,600,1.29
2021/11/29,45600,-850,-1.83,57894,0.79,600,1.32
2021/11/30,44200,-1400,-3.07,57894,0.76,600,1.36
2021/12/01,45200,1000,2.26,57894,0.78,600,1.33
2021/12/02,47150,1950,4.31,57894,0.81,600,1.27
2021/12/03,48300,1150,2.44,57894,0.83,600,1.24
2021/12/06,48500,200,0.41,57894,0.84,600,1.24
2021/12/07,50800,2300,4.74,57894,0.88,600,1.18
2021/12/08,50000,-800,-1.57,57894,0.86,600,1.2
2021/12/09,49750,-250,-0.5,57894,0.86,600,1.21
2021/12/10,49950,200,0.4,57894,0.86,600,1.2
2021/12/13,49450,-500,-1.0,57894,0.85,600,1.21
2021/12/14,48950,-500,-1.01,57894,0.85,600,1.23
2021/12/15,47450,-1500,-3.06,57894,0.82,600,1.26
2021/12/16,47800,350,0.74,57894,0.83,600,1.26
2021/12/17,47800,0,0.0,57894,0.83,600,1.26
2021/12/20,46300,-1500,-3.14,57894,0.8,600,1.3
2021/12/21,46200,-100,-0.22,57894,0.8,600,1.3
2021/12/22,45400,-800,-1.73,57894,0.78,600,1.32
2021/12/23,45500,100,0.22,57894,0.79,600,1.32
2021/12/24,45350,-150,-0.33,57894,0.78,600,1.32
2021/12/27,44900,-450,-0.99,57894,0.78,600,1.34
2021/12/28,44950,50,0.11,57894,0.78,600,1.33
2021/12/29,44900,-50,-0.11,57894,0.78,600,1.34
2021/12/30,44450,-450,-1.0,57894,0.77,600,1.35
2022/01/03,46150,1700,3.82,57894,0.8,600,1.3
2022/01/04,46550,400,0.87,57894,0.8,600,1.29
2022/01/05,46700,150,0.32,57894,0.81,600,1.28
2022/01/06,46900,200,0.43,57894,0.81,600,1.28
2022/01/07,46850,-50,-0.11,57894,0.81,600,1.28
2022/01/10,45900,-950,-2.03,57894,0.79,600,1.31
2022/01/11,44800,-1100,-2.4,57894,0.77,600,1.34
2022/01/12,45300,500,1.12,57894,0.78,600,1.32
2022/01/13,45850,550,1.21,57894,0.79,600,1.31
2022/01/14,44850,-1000,-2.18,57894,0.77,600,1.34
2022/01/17,43850,-1000,-2.23,57894,0.76,600,1.37
2022/01/18,42700,-1150,-2.62,57894,0.74,600,1.41
2022/01/19,42700,0,0.0,57894,0.74,600,1.41
2022/01/20,43000,300,0.7,57894,0.74,600,1.4
2022/01/21,42900,-100,-0.23,57894,0.74,600,1.4
2022/01/24,41950,-950,-2.21,57894,0.72,600,1.43
2022/01/25,40350,-1600,-3.81,57894,0.7,600,1.49
2022/01/26,40250,-100,-0.25,57894,0.7,600,1.49
2022/01/27,38500,-1750,-4.35,57894,0.67,600,1.56
2022/01/28,42200,3700,9.61,57894,0.73,600,1.42
2022/02/03,41450,-750,-1.78,57894,0.72,600,1.45
2022/02/04,42700,1250,3.02,57894,0.74,600,1.41
2022/02/07,41700,-1000,-2.34,57894,0.72,600,1.44
2022/02/08,41800,100,0.24,57894,0.72,600,1.44
2022/02/09,43700,1900,4.55,57894,0.75,600,1.37
2022/02/10,43300,-400,-0.92,57894,0.75,600,1.39
2022/02/11,42300,-1000,-2.31,57894,0.73,600,1.42
2022/02/14,40900,-1400,-3.31,57894,0.71,600,1.47
2022/02/15,41050,150,0.37,57894,0.71,600,1.46
2022/02/16,41800,750,1.83,57894,0.72,600,1.44
2022/02/17,42050,250,0.6,57894,0.73,600,1.43
2022/02/18,42050,0,0.0,57894,0.73,600,1.43
2022/02/21,42650,600,1.43,57894,0.74,600,1.41
2022/02/22,41950,-700,-1.64,57894,0.72,600,1.43
2022/02/23,43050,1100,2.62,57894,0.74,600,1.39
2022/02/24,42300,-750,-1.74,57894,0.73,600,1.42
2022/02/25,42600,300,0.71,57894,0.74,600,1.41
2022/02/28,43300,700,1.64,57894,0.75,600,1.39
2022/03/02,43700,400,0.92,57894,0.75,600,1.37
2022/03/03,45450,1750,4.0,57894,0.79,600,1.32
2022/03/04,45400,-50,-0.11,57894,0.78,600,1.32
2022/03/07,45550,150,0.33,57894,0.79,600,1.32
2022/03/08,44200,-1350,-2.96,57894,0.76,600,1.36
2022/03/10,48150,3950,8.94,57894,0.83,600,1.25
2022/03/11,49400,1250,2.6,57894,0.85,600,1.21
2022/03/14,49450,50,0.1,57894,0.85,600,1.21
2022/03/15,48400,-1050,-2.12,57894,0.84,600,1.24
2022/03/16,49200,800,1.65,57894,0.85,600,1.22
