Date,Close,대비,등락률,BPS,PBR,주당배당금,배당수익률
2015/10/06,37200,1850,5.23,24775,1.5,300,0.81
2015/10/07,37300,100,0.27,24775,1.51,300,0.8
2015/10/08,37550,250,0.67,24775,1.52,300,0.8
2015/10/12,36850,-700,-1.86,24775,1.49,300,0.81
2015/10/13,36000,-850,-2.31,24775,1.45,300,0.83
2015/10/14,36400,400,1.11,24775,1.47,300,0.82
2015/10/15,36750,350,0.96,24775,1.48,300,0.82
2015/10/16,36100,-650,-1.77,24775,1.46,300,0.83
2015/10/19,35750,-350,-0.97,24775,1.44,300,0.84
2015/10/20,35700,-50,-0.14,24775,1.44,300,0.84
2015/10/21,33650,-2050,-5.74,24775,1.36,300,0.89
2015/10/22,31950,-1700,-5.05,24775,1.29,300,0.94
2015/10/23,32100,150,0.47,24775,1.3,300,0.93
2015/10/26,32900,800,2.49,24775,1.33,300,0.91
2015/10/27,32150,-750,-2.28,24775,1.3,300,0.93
2015/10/28,31450,-700,-2.18,24775,1.27,300,0.95
2015/10/29,31450,0,0.0,24775,1.27,300,0.95
2015/10/30,30700,-750,-2.38,24775,1.24,300,0.98
2015/11/02,32150,1450,4.72,24775,1.3,300,0.93
2015/11/03,31900,-250,-0.78,24775,1.29,300,0.94
2015/11/04,32600,700,2.19,24775,1.32,300,0.92
2015/11/05,32650,50,0.15,24775,1.32,300,0.92
2015/11/06,31200,-1450,-4.44,24775,1.26,300,0.96
2015/11/09,31250,50,0.16,24775,1.26,300,0.96
2015/11/10,31150,-100,-0.32,24775,1.26,300,0.96
2015/11/11,31000,-150,-0.48,24775,1.25,300,0.97
2015/11/12,30700,-300,-0.97,24775,1.24,300,0.98
2015/11/13,31150,450,1.47,24775,1.26,300,0.96
2015/11/16,30500,-650,-2.09,24775,1.23,300,0.98
2015/11/17,30600,100,0.33,24775,1.24,300,0.98
2015/11/18,30550,-50,-0.16,24775,1.23,300,0.98
2015/11/19,31200,650,2.13,24775,1.26,300,0.96
2015/11/20,31000,-200,-0.64,24775,1.25,300,0.97
2015/11/23,30650,-350,-1.13,24775,1.24,300,0.98
2015/11/24,30200,-450,-1.47,24775,1.22,300,0.99
2015/11/25,31900,1700,5.63,24775,1.29,300,0.94
2015/11/26,32750,850,2.66,24775,1.32,300,0.92
2015/11/27,32000,-750,-2.29,24775,1.29,300,0.94
2015/11/30,31600,-400,-1.25,24775,1.28,300,0.95
2015/12/01,31350,-250,-0.79,24775,1.27,300,0.96
2015/12/02,31200,-150,-0.48,24775,1.26,300,0.96
2015/12/03,31150,-50,-0.16,24775,1.26,300,0.96
2015/12/04,31200,50,0.16,24775,1.26,300,0.96
2015/12/07,30700,-500,-1.6,24775,1.24,300,0.98
2015/12/08,30200,-500,-1.63,24775,1.22,300,0.99
2015/12/09,30250,50,0.17,24775,1.22,300,0.99
2015/12/10,30300,50,0.17,24775,1.22,300,0.99
2015/12/11,29850,-450,-1.49,24775,1.2,300,1.01
2015/12/14,29000,-850,-2.85,24775,1.17,300,1.03
2015/12/15,29400,400,1.38,24775,1.19,300,1.02
2015/12/16,30400,1000,3.4,24775,1.23,300,0.99
2015/12/17,30250,-150,-0.49,24775,1.22,300,0.99
2015/12/18,30600,350,1.16,24775,1.24,300,0.98
2015/12/21,30500,-100,-0.33,24775,1.23,300,0.98
2015/12/22,32200,1700,5.57,24775,1.3,300,0.93
2015/12/23,32700,500,1.55,24775,1.32,300,0.92
2015/12/24,31700,-1000,-3.06,24775,1.28,300,0.95
2015/12/28,30900,-800,-2.52,24775,1.25,300,0.97
2015/12/29,31200,300,0.97,24775,1.26,300,0.96
2015/12/30,30750,-450,-1.44,24775,1.24,300,0.98
2016/01/04,30150,-600,-1.95,24775,1.22,300,1.0
2016/01/05,30600,450,1.49,24775,1.24,300,0.98
2016/01/06,30750,150,0.49,24775,1.24,300,0.98
2016/01/07,30200,-550,-1.79,24775,1.22,300,0.99
2016/01/08,29700,-500,-1.66,24775,1.2,300,1.01
2016/01/11,28650,-1050,-3.54,24775,1.16,300,1.05
2016/01/12,27800,-850,-2.97,24775,1.12,300,1.08
2016/01/13,28100,300,1.08,24775,1.13,300,1.07
2016/01/14,27900,-200,-0.71,24775,1.13,300,1.08
2016/01/15,26800,-1100,-3.94,24775,1.08,300,1.12
